Time_sec,DateTime,Batt_V,Temp_C,DO_mgL,Q
1623869820,6/15/1951 18:57,3.54,28.154,7.751,0.975
1623870420,6/15/1951 19:07,3.54,28.402,7.732,0.975
1623871020,6/15/1951 19:17,3.54,28.684,7.687,0.975
1623871620,6/15/1951 19:27,3.54,28.838,7.657,0.975
1623872220,6/15/1951 19:37,3.54,28.923,7.632,0.974
1623872820,6/15/1951 19:47,3.54,28.966,7.625,0.974
1623873420,6/15/1951 19:57,3.54,29.018,7.624,0.975
1623874020,6/15/1951 20:07,3.54,29.018,7.624,0.975
1623874620,6/15/1951 20:17,3.54,28.992,7.617,0.974
1623875220,6/15/1951 20:27,3.54,29.009,7.626,0.975
1623875820,6/15/1951 20:37,3.54,29.043,7.623,0.975
1623876420,6/15/1951 20:47,3.54,29.095,7.599,0.974
1623877020,6/15/1951 20:57,3.54,29.138,7.601,0.975
1623877620,6/15/1951 21:07,3.54,29.249,7.577,0.975
1623946260,6/16/1951 16:11,3.54,27.592,0.527,0.968
1623946860,6/16/1951 16:21,3.54,27.312,0.646,0.971
1623947460,6/16/1951 16:31,3.54,27.252,0.623,0.971
1623948060,6/16/1951 16:41,3.54,27.227,0.564,0.97
1623948660,6/16/1951 16:51,3.54,27.218,0.485,0.968
1623949260,6/16/1951 17:01,3.54,27.218,0.461,0.967
1623949860,6/16/1951 17:11,3.54,27.235,0.419,0.966
1623950460,6/16/1951 17:21,3.54,27.261,0.42,0.967
1623951060,6/16/1951 17:31,3.54,27.269,0.371,0.965
1623951660,6/16/1951 17:41,3.54,27.303,0.32,0.964
1623952260,6/16/1951 17:51,3.54,27.303,0.297,0.963
1623952860,6/16/1951 18:01,3.54,27.286,0.307,0.964
1623953460,6/16/1951 18:11,3.54,27.32,0.291,0.963
1623954060,6/16/1951 18:21,3.54,27.346,0.271,0.963
1623954660,6/16/1951 18:31,3.54,27.371,0.265,0.963
1623955260,6/16/1951 18:41,3.54,27.388,0.274,0.963
1623955860,6/16/1951 18:51,3.54,27.405,0.256,0.962
1623956460,6/16/1951 19:01,3.54,27.439,0.267,0.963
1623957060,6/16/1951 19:11,3.54,27.447,0.261,0.963
1623957660,6/16/1951 19:21,3.54,27.439,0.382,0.966
1623958260,6/16/1951 19:31,3.54,27.422,0.283,0.963
1623958860,6/16/1951 19:41,3.54,27.43,0.259,0.963
1623959460,6/16/1951 19:51,3.54,27.422,0.257,0.963
1623960060,6/16/1951 20:01,3.54,27.405,0.257,0.963
1623960660,6/16/1951 20:11,3.54,27.38,0.198,0.961
1623961260,6/16/1951 20:21,3.54,27.396,0.234,0.962
